iter	Passed	Remaining
0	13	13033
1	25	12650
2	37	12446
3	48	12038
4	58	11723
5	70	11745
6	82	11712
7	96	11940
8	109	12013
9	122	12082
10	134	12087
11	145	11998
12	157	11954
13	169	11948
14	181	11929
15	196	12064
16	208	12082
17	222	12124
18	237	12253
19	267	13128
20	291	13610
21	311	13839
22	328	13948
23	343	13958
24	356	13890
25	369	13833
26	382	13799
27	396	13762
28	409	13705
29	422	13665
30	437	13672
31	452	13694
32	467	13703
33	481	13686
34	495	13658
35	508	13629
36	524	13647
37	537	13613
38	550	13567
39	565	13562
40	579	13547
41	591	13491
42	605	13476
43	619	13464
44	634	13459
45	648	13459
46	663	13452
47	677	13431
48	691	13417
49	704	13390
50	718	13373
51	733	13374
52	747	13353
53	760	13316
54	774	13303
55	788	13284
56	802	13272
57	816	13259
58	829	13231
59	843	13222
60	858	13212
61	871	13188
62	886	13181
63	898	13144
64	911	13107
65	925	13090
66	938	13072
67	952	13052
68	965	13025
69	979	13009
70	992	12983
71	1005	12966
72	1019	12949
73	1034	12943
74	1049	12940
75	1063	12925
76	1076	12901
77	1089	12874
78	1103	12860
79	1117	12847
80	1131	12839
81	1145	12829
82	1158	12802
83	1172	12781
84	1185	12761
85	1199	12743
86	1213	12732
87	1226	12709
88	1240	12697
89	1254	12686
90	1268	12675
91	1282	12657
92	1296	12642
93	1309	12622
94	1322	12600
95	1336	12581
96	1350	12570
97	1364	12555
98	1378	12547
99	1392	12530
100	1405	12514
101	1421	12510
102	1435	12497
103	1448	12479
104	1463	12471
105	1479	12473
106	1492	12457
107	1506	12438
108	1519	12422
109	1533	12409
110	1546	12387
111	1560	12368
112	1573	12347
113	1585	12325
114	1599	12310
115	1611	12277
116	1624	12256
117	1636	12235
118	1650	12216
119	1663	12200
120	1677	12187
121	1692	12180
122	1704	12155
123	1719	12145
124	1732	12127
125	1745	12104
126	1757	12078
127	1769	12056
128	1782	12037
129	1795	12018
130	1808	11999
131	1822	11982
132	1835	11964
133	1848	11944
134	1860	11924
135	1874	11908
136	1888	11894
137	1901	11880
138	1915	11864
139	1932	11868
140	1945	11855
141	1960	11843
142	1973	11829
143	1989	11823
144	2001	11802
145	2014	11782
146	2028	11772
147	2042	11756
148	2057	11751
149	2073	11751
150	2088	11740
151	2104	11738
152	2117	11722
153	2131	11707
154	2143	11688
155	2158	11676
156	2172	11663
157	2186	11650
158	2203	11655
159	2217	11639
160	2229	11617
161	2246	11620
162	2262	11619
163	2277	11609
164	2291	11597
165	2306	11588
166	2334	11643
167	2347	11624
168	2360	11606
169	2373	11588
170	2388	11580
171	2404	11572
172	2417	11554
173	2429	11534
174	2443	11517
175	2455	11498
176	2469	11482
177	2483	11468
178	2498	11458
179	2511	11440
180	2525	11426
181	2538	11408
182	2551	11389
183	2563	11369
